*********	*********	*********	*********	*********	*********	*********	*********	*********
ID SOLICITACAO	DATA SOLICITACAO	NOME CLIENTE	SOBRENOME CLIENTE	UF CLIENTE/CIDADE	DEPARTAMENTO	SKU/PRODUTO/CARACTERISTICAS	NUM NF/VALOR NF	REGIAO
807293	3*2*2019	Lívia	Boaventura_D’Ávila	Acre/Cruzeiro do Sul	              Eletroportateis	FP32/Ferro de passar-500Wvapor	873126991-552,42	Norte
651368	15*8*2019	Lara	Gonçalves_Gimenez	Acre/Rio Branco	              Eletroportateis	FP32/Ferro de passar-500Wvapor	844221733-552,42	Norte
679860	23*12*2019	Rafaela	Castro_Barros	Acre/Rio Branco	                 Eletrodoméstico	B30L/Refrigerador-330LBranco	842572871-5899,36	Norte
397856	6*1*2019	Maria_Júlia	Fernandes_Liberato	Acre/Sena Madureira	           Eletrodoméstico	52SB/Fogão-4Bocas220V	879172923-966,24	Norte
912234	22*6*2019	Felipe	Montenegro_Torres	Acre/Sena Madureira	              Eletroportateis	FP02/Ferro de passar-300Wvapor	849226920-134,72	Norte
*********	*********	*********	*********	*********	*********	*********	*********	*********
686724	22*10*2019	Henrique	Ferraz_Evelyn	Alagoas/Arapiraca	          Eletrônicos	NT9X/Notebook-i78GB1TB	834583785-4896,53	Nordeste
210779	17*12*2019	Manuela	Ribeiro_Silverstone	Alagoas/Arapiraca	                   Eletrônicos	TB7A/Tablet-7,5pol	880352917-844,65	Nordeste
135959	30*8*2019	Esther	Sanches_Sampaio	Alagoas/Maceió	                   Eletrônicos	TB7A/Tablet-7,5pol	831190688-844,65	Nordeste
892073	21*9*2019	Luiz_Henrique	Mazzaropi_Ribeiro	Alagoas/Maceió	             Eletrodoméstico	AC75/Ar condicionado-7500BTUSplit	896870983-1581,03	Nordeste
205006	29*12*2019	Arthur	Chapelin_Meneghel	Alagoas/Palmeira dos Índios	          Eletrônicos	NT8F/Notebook-i55GB500GB	869712524-3582,23	Nordeste
383360	10*4*2019	Rebeca	Góes_Hickmann	Alagoas/Rio Largo	                 Eletrodoméstico	B30L/Refrigerador-330LBranco	815232013-5899,36	Nordeste
579378	3*12*2019	Gabriel	Boaventura_Meneghel	Alagoas/União dos Palmares	              Eletroportateis	FP02/Ferro de passar-300Wvapor	823411368-134,72	Nordeste
