*********	*********	*********	*********	*********	*********	*********	*********	*********
ID SOLICITACAO	DATA SOLICITACAO	NOME CLIENTE	SOBRENOME CLIENTE	UF CLIENTE/CIDADE	DEPARTAMENTO	SKU/PRODUTO/CARACTERISTICAS	NUM NF/VALOR NF	REGIAO
569281	3*1*2019	Isabelly	Boaventura_Andrade	Acre/Cruzeiro do Sul	                 Eletrodoméstico	B30L/Refrigerador-330LBranco	876670466-5899,36	Norte
386339	29*6*2019	Arthur	Barcelos_Marques	Acre/Feijó	          Eletrônicos	NT9X/Notebook-i78GB1TB	875749755-4896,53	Norte
834232	6*11*2019	Enzo	Figueiredo_Bittencourt	Acre/Rio Branco	Eletroportateis	LQ12/Liquidificador-5velocidades	863424392-588,82	Norte
471370	10*12*2019	Pedro_Lucas	Steves_Fagundes	Acre/Rio Branco	                   Eletroportateis	CF67/Cafeteira-convencional	892676148-105,51	Norte
893424	28*9*2019	Lavínia	Trindade_Moscovis	Acre/Sena Madureira	                   Eletroportateis	CF16/Cafeteira-smartCafe	871492637-552,5	Norte
266420	24*11*2019	Maria_Alice	Roriz_Schmütz	Acre/Tarauacá	                   Eletrônicos	TB47/Tablet-9,6pol	895866599-1471,23	Norte
*********	*********	*********	*********	*********	*********	*********	*********	*********
506947	19*7*2019	Eduardo	Dieckmann_Novaes	Alagoas/Arapiraca	              Eletroportateis	FP02/Ferro de passar-300Wvapor	814787244-134,72	Nordeste
305541	18*4*2019	Cecília	Lessa_Oliveira	Alagoas/Arapiraca	        Eletrônicos	SP3X/Celular-4GB128GB	864642247-4821,03	Nordeste
168101	17*2*2019	Vicente	Werneck_Resende	Alagoas/Maceió	        Eletrônicos	SP3X/Celular-4GB128GB	870686222-4821,03	Nordeste
709253	5*6*2019	Francisco	Noronha_Bastos	Alagoas/Maceió	       Eletrodoméstico	LR79/Lavadora-7kgBiVolt	828956546-2564,12	Nordeste
311686	15*6*2019	Daniel	Moura_Barcelos	Alagoas/Maceió	                   Eletroportateis	CF67/Cafeteira-convencional	892245056-105,51	Nordeste
873905	6*2*2019	Luiz_Miguel	Andrade_Martins	Alagoas/Maceió	       Eletrodoméstico	LR13/Lavadora-12kg110V	870692541-2675,99	Nordeste
418800	14*7*2019	Leonardo	Bernardi_Werneck	Alagoas/Maceió	       Eletrodoméstico	LR13/Lavadora-12kg110V	840186152-2675,99	Nordeste
502249	10*12*2019	João Lucas	Dantas_Montenegro	Alagoas/Maceió	                   Eletroportateis	CF16/Cafeteira-smartCafe	835618620-552,5	Nordeste
321396	24*1*2019	Maria_Clara	Sanches_Lombardi	Alagoas/Palmeira dos Índios	             Eletrodoméstico	AC12/Ar condicionado-12000BTUSplit	884354304-2182,42	Nordeste
595390	10*8*2019	Antônio	Menezes_Lombardi	Alagoas/Palmeira dos Índios	                   Eletrônicos	TB7A/Tablet-7,5pol	836860433-844,65	Nordeste
790087	29*6*2019	Benício	Meneghel_Maldonado	Alagoas/Palmeira dos Índios	                   Eletrônicos	TB47/Tablet-9,6pol	817224624-1471,23	Nordeste
184726	24*2*2019	Giovanna	Góes_Müller	Alagoas/Rio Largo	         Eletrônicos	ST56/SmartTV-4k52pol	895637984-6074,38	Nordeste
693059	6*3*2019	Beatriz	Lambertini_Steves	Alagoas/Rio Largo	              Eletroportateis	FP32/Ferro de passar-500Wvapor	854377451-552,42	Nordeste
