*********	*********	*********	*********	*********	*********	*********	*********	*********
ID SOLICITACAO	DATA SOLICITACAO	NOME CLIENTE	SOBRENOME CLIENTE	UF CLIENTE/CIDADE	DEPARTAMENTO	SKU/PRODUTO/CARACTERISTICAS	NUM NF/VALOR NF	REGIAO
594661	15*11*2019	Lorena	Moscovis_Dantas	Acre/Feijó	          Eletrônicos	NT9X/Notebook-i78GB1TB	814535528-4896,53	Norte
665552	23*2*2019	Luiz_Miguel	Garcia_Noronha	Acre/Rio Branco	       Eletrodoméstico	LR79/Lavadora-7kgBiVolt	892110492-2564,12	Norte
418358	14*1*2019	Maria_Júlia	Noronha_Bonner	Acre/Tarauacá	        Eletrônicos	SP3X/Celular-4GB128GB	854537095-4821,03	Norte
783098	19*9*2019	Emanuelly	Müller_Sanches	Acre/Tarauacá	          Eletrônicos	NT8F/Notebook-i55GB500GB	862428991-3582,23	Norte
*********	*********	*********	*********	*********	*********	*********	*********	*********
666331	3*5*2019	Maria Luiza	Medeiros_Boaventura	Alagoas/Arapiraca	              Eletroportateis	FP02/Ferro de passar-300Wvapor	818285325-134,72	Nordeste
750090	26*7*2019	Gustavo	Dolabella_Menezes	Alagoas/Arapiraca	           Eletrodoméstico	52SB/Fogão-4Bocas220V	887518925-966,24	Nordeste
677571	23*1*2019	Vicente	Dantas_Mazzaropi	Alagoas/Arapiraca	             Eletrodoméstico	AC75/Ar condicionado-7500BTUSplit	888630817-1581,03	Nordeste
418849	8*8*2019	Antônio	Gomes_Giácomo	Alagoas/Arapiraca	       Eletrodoméstico	LR13/Lavadora-12kg110V	853076696-2675,99	Nordeste
555214	30*9*2019	Enzo	Mazzaropi_Bongiovanni	Alagoas/Maceió	           Eletrodoméstico	CFO4/Fogão-6Bocas110V	835051520-1467,6	Nordeste
695985	3*10*2019	Lorena	Marques_Gomes	Alagoas/Maceió	Eletroportateis	LQ12/Liquidificador-5velocidades	826745862-588,82	Nordeste
462557	14*3*2019	Luiz_Henrique	Barros_Carvalho	Alagoas/Maceió	              Eletroportateis	FP02/Ferro de passar-300Wvapor	861425105-134,72	Nordeste
531959	18*7*2019	Amanda	Schumacher_Assunção	Alagoas/Maceió	       Eletrodoméstico	LR13/Lavadora-12kg110V	892436013-2675,99	Nordeste
267010	7*8*2019	Maria_Clara	Silverstone_Oliveira	Alagoas/Palmeira dos Índios	         Eletrônicos	ST56/SmartTV-4k52pol	835293282-6074,38	Nordeste
